eventid	country	region	provstate	city	crit1	crit2	crit3	doubtterr	alternative	multiple	success	suicide	attacktype1	targtype1	targsubtype1	corp1	target1	natlty1	gname	guncertain1	individual	nperps	nperpcap	claimed	claimmode	weaptype1	weapsubtype1	nwoundte	property	propextent	propvalue	ishostkid	nhostkid	nhostkidus	nhours	ndays	divert	ransom	hostkidoutcome	nreleased
201507160023	60	10	Cairo	Cairo	1	1	1	0		0	1	0	3	3	25	Egyptian National Police (ENP)	Officer	60	Ajnad Misr	0	0	-99	0	1	7	6	17	0	0			0								
201507160024	173	10	Riyadh	Riyadh	1	1	1	0		1	1	1	3	3	24	Saudi Arabia Police Force	Checkpoint	173	Najd Province of the Islamic State	0	0	1	0	1	7	6	15	0	0			0								
201507160025	173	10	Riyadh	Riyadh	1	1	1	0		1	1	0	9	2	18	Saudi Ministry of Interior	Colonel: Rashid Ibrahim al Safyan	173	Najd Province of the Islamic State	0	0	1	0	1	7	13		0	0			0								
201507160029	228	10	Adan	Aden	1	1	1	0		0	1	0	3	1	1	Aden Refinery Company	Fuel Storage Tanks	228	Houthi extremists (Ansar Allah)	0	0	-99	0	0		6	11	0	1	4	-99	0								
201507160043	200	10	Idlib	Kafrayah	1	1	0	1	1	1	1	0	3	4	34	Syrian Armed Forces (SAF)	Soldiers	200	Jaish al-Fatah (Syria)	0	0	-99	0	1	7	6	11	0	-9			0								
201507160044	200	10	Idlib	Fuah	1	1	0	1	1	1	1	0	3	4	34	Syrian Armed Forces (SAF)	Soldiers	200	Jaish al-Fatah (Syria)	0	0	-99	0	1	7	6	11	0	-9			0								
201507160054	95	10	Saladin	Samarra	1	1	1	0		0	1	0	3	3	22	Iraqi Police Service (IPS)	Police Station	95	Islamic State of Iraq and the Levant (ISIL)	0	0	-99	0	1	8	6	16	0	0			0								
201507160057	95	10	Al Anbar	Khalidiyah	1	1	0	1	1	0	1	0	9	4	27	Iraqi Armed Forces	Base	95	Islamic State of Iraq and the Levant (ISIL)	0	0	-99	0	0		13		0	0			0								
201507160058	214	9	Luhansk	Bolotne	1	1	0	1	1	0	1	0	3	4	34	Armed Forces of Ukraine	Soldiers	214	Luhansk People's Republic	0	0	-99	0	0		6	8	0	-9			0								
201507160061	217	1	Tennessee	Chattanooga	1	1	1	0		1	1	0	2	4	28	United States Armed Forces	Recruiting Station	217	Muslim extremists	0	1	1	0	0		5	2	0	1	3	-99	0								
201507160062	217	1	Tennessee	Chattanooga	1	1	1	0		1	1	0	2	4	28	United States Armed Forces	Recruiting Station	217	Muslim extremists	0	1	1	0	0		5	2	0	0			0								
201507160064	147	11	Gombe	Gombe	1	1	1	0		1	1	0	3	14	74	Gombe Central Market	Market	147	Boko Haram	0	0	-99	0	0		6	16	0	-9			0								
201507160065	147	11	Gombe	Gombe	1	1	1	0		1	1	0	3	14	74	Gombe Central Market	Market	147	Boko Haram	0	0	-99	0	0		6	16	0	-9			0								
201507160066	228	10	Adan	Aden	1	1	0	1	1	0	1	0	3	4	27	Military of Yemen	Aiden International Airport	228	Houthi extremists (Ansar Allah)	0	0	-99	0	0		6	11	0	-9			0								
201507160082	4	6	Laghman	Mihtarlam	1	1	1	0		0	1	0	2	3	23	Afghan Police	Vehicle	4	Taliban	0	0	-99	0	0		5	5	0	0			0								
201507160097	45	3	Antioquia	Yondo	1	1	1	0		0	1	0	7	1	1	Unknown	Oil Well	45	Revolutionary Armed Forces of Colombia (FARC)	0	0	-99	0	0		8	18	0	1	4	-99	0								
201507160098	45	3	Cauca	Unknown	1	1	1	0		0	1	0	3	19	104	Pan American Highway	Highway	45	Revolutionary Armed Forces of Colombia (FARC)	0	0	-99	0	0		6	16	0	-9			0								
201507170001	113	10	Derna	Wadi Marqas	1	1	1	0		0	1	0	3	17	94	Omar al-Mukhtar Brigade	Vehicle	113	Barqa Province of the Islamic State	0	0	-99	0	0		6	16	0	-9			0								
201507170003	113	10	Sirte	Nawfaliyah	1	1	1	0		0	1	0	6	14	69	Not Applicable	Christian Civilian: Bekhit Nageh Efrank Ebeid	60	Tripoli Province of the Islamic State	0	0	-99	0	1	7	5	5	0	0			1	3	0		-99		0	6	-99
201507170006	45	3	Arauca	Tame district	1	1	1	0		0	1	0	9	3	25	National Police Of Colombia	Officers	45	National Liberation Army of Colombia (ELN)	0	0	-99	0	0		13		0	0			0								
201507170008	45	3	Antioquia	Taraza district	1	1	1	0		0	1	0	3	19	104	Pan American Highway	Highway	45	Revolutionary Armed Forces of Colombia (FARC)	0	0	-99	0	0		6	16	0	-9			0								
201507170010	45	3	Narino	Contadero	1	1	1	0		0	1	0	3	21	108	Trans-Andean Oil Pipeline	Oil Pipeline	45	Revolutionary Armed Forces of Colombia (FARC)	0	0	-99	0	0		6	16	0	1	4	-99	0								
201507170012	160	5	Compostela Valley	Tagugpo	1	1	0	1	1	0	1	0	2	4	29	Armed Forces of the Philippines (AFP)	101st Division Reconnaissance Company Patrol	160	New People's Army (NPA)	0	0	-99	0	0		5	5	0	0			0								
201507170013	153	6	Balochistan	Quetta	1	1	1	0		0	1	1	3	8	49	Sardar Buhadar University For Women	University	153	Lashkar-e-Jhangvi	0	0	1	0	1	2	6	13	0	0			0								
201507170016	92	6	Chhattisgarh	Tekri	1	1	1	0		0	1	0	3	3	23	Central Reserve Police Force (CRPF)	Patrol	92	Maoists	0	0	-99	0	0		6	8	0	0			0								
201507170018	42	11	Lac	Konkia	1	1	0	1	1	0	1	0	2	4	34	Military of Chad	Soldiers	42	Boko Haram	0	0	19	0	0		5	5		0			0								
201507170027	209	10	Igdir	Unknown	1	1	1	0		0	1	0	7	14	73	Not Applicable	Trailer Truck	209	Kurdistan Workers' Party (PKK)	0	0	-99	0	0		8	18	0	1	3	-99	0								
201507170035	95	10	Saladin	Mushahidah	1	1	1	0		0	1	0	3	3	23	Iraqi Police Service (IPS)	Patrol	95	Islamic State of Iraq and the Levant (ISIL)	0	0	-99	0	1	8	6	16	0	0			0								
201507170054	147	11	Yobe	Damaturu	1	1	1	0		1	1	1	3	15	86	Unknown	Muslim Prayer Ground	147	Boko Haram	0	0	1	0	0		6	13	0	0			0								
201507170055	147	11	Yobe	Damaturu	1	1	1	0		1	1	1	3	15	86	Unknown	Muslim Prayer Ground	147	Boko Haram	0	0	1	0	0		6	13	0	0			0								
201507170056	147	11	Borno	Sabon Gari	1	1	1	0		0	1	0	2	14	75	Sabon Gari Town	Town	147	Boko Haram	0	0	-99	0	0		5	2	0	1	3	-99	0								
201507170059	4	6	Balkh	Kanguri	1	1	1	0		0	1	0	3	15	86	Unknown	Mosque	4	Taliban	0	0	-99	0	0		6	8	0	0			0								
201507170081	153	6	Khyber Pakhtunkhwa	Dera Ismail Khan	1	1	1	0		0	0	0	3	15	86	Unknown	Mosque	153	Khorasan Chapter of the Islamic State	0	0	1	0	1	5	6	16	0	0			0								
201507170085	158	3	San Pedro	Unknown	1	1	1	0		0	1	0	2	3	23	Paraguayan Police Force	Vehicle	158	Paraguayan People's Army (EPP)	1	0	-99	0	0		5	5	0	1	3	-99	0								
201507170086	93	5	Papua	Karubaga	1	1	1	0		1	1	0	2	15	86	Baitul Mutaqqin Mosque	Mosque	93	Christian extremists	0	0	-99	0	0		8	18	4	1	3	-99	0								
201507170087	93	5	Papua	Karubaga	1	1	1	0		1	1	0	7	14	76	Not Applicable	Residences	93	Christian extremists	0	0	-99	0	0		8	18	3	1	4	-99	0								
201507170088	93	5	Papua	Karubaga	1	1	1	0		1	1	0	7	1	7	Unknown	Stores	93	Christian extremists	0	0	-99	0	0		8	18	3	1	4	-99	0								
201507180002	6	10	Ain Defla	Unknown	1	1	0	1	1	0	1	0	3	4	34	People's National Army (ANP)	Soldiers	6	Al-Qaida in the Islamic Maghreb (AQIM)	0	0	40	0	1	7	6	16		1	4	-99	0								
201507180003	113	10	Benghazi	Benghazi	1	1	1	0		0	0	0	9	4	34	Libyan Army	Soldiers	113	Barqa Province of the Islamic State	0	0	-99	0	0		13		0	0			0								
201507180004	153	6	Khyber Pakhtunkhwa	Salim Khan	1	1	1	0		0	1	0	1	3	25	Pakistani Police	Police Superintendent: Khairul Haseeb	153	Tehrik-i-Taliban Pakistan (TTP)	0	0	-99	0	1	7	5	5	0	-9			0								
201507180005	160	5	Compostela Valley	Mabini	1	1	1	0		0	1	0	3	14	68	Not Applicable	Civilian: Ravelyn Ababa Cobrado	160	New People's Army (NPA)	0	0	1	0	0		6	16	0	-9			0								
201507180006	160	5	Sulu	Jolo	1	1	1	0		0	1	0	3	1	2	Kamayan Bar	Bar	160	Abu Sayyaf Group (ASG)	0	0	2	0	0		6	15	0	1	3	-99	0								
201507180011	113	10	Sirte	Sirte	1	1	1	0		0	1	0	9	14	113	Not Applicable	Suspected Spy	113	Tripoli Province of the Islamic State	0	0	-99	0	1	7	13		0	0			0								
201507180045	95	10	Diyala	Bani Saad	1	1	1	0		0	1	1	3	14	74	Bani Saad Market	Market	95	Islamic State of Iraq and the Levant (ISIL)	0	0	-99	0	1	7	6	15	0	1	4	-99	0								
201507180049	95	10	Baghdad	Baghdad	1	1	1	0		0	0	0	3	20		Unknown	Unknown	95	Islamic State of Iraq and the Levant (ISIL)	0	0	1	1	0		6	15	0	0			0								
201507180055	214	9	Donetsk	Avdiivka	1	1	1	0		0	1	0	3	14	76	Not Applicable	Residential Area	214	Donetsk People's Republic	0	0	-99	0	0		6	11	0	-9			0								
201507180079	214	9	Donetsk	Donetsk	1	1	1	0		0	1	0	3	14	75	Kuibyshivsky Neighborhood	Neighborhood	214	Donetsk People's Republic	1	0	-99	0	0		6	11	0	-9			0								
201507180081	195	11	South Darfur	Jertobik	1	1	1	0		0	1	0	2	14	75	Jertobik Village	Village	195	Janjaweed	0	0	-99	0	0		5	5	0	1	3	-99	0								
201507180086	45	3	Cauca	Suarez	1	1	1	0		0	1	0	3	3	22	National Police of Colombia	Police Station	45	Revolutionary Armed Forces of Colombia (FARC)	0	0	-99	0	0		6	16	0	0			0								
201507190001	41	11	Nana-Mambere	Baboua	1	1	1	0		0	1	0	6	2	18	Government of Baboua	Mayor	41	Group of the Fatima Church Attack	0	0	-99	0	1	10	5	5	0	0			1	2	0		-99		1	7	-99
201507190005	45	3	Norte de Santander	Palmeras	1	1	1	0		0	1	0	3	21	108	Ecopetrol	Cano Limon-Covenas Oil Well	45	Revolutionary Armed Forces of Colombia (FARC)	0	0	-99	0	0		6	16	0	1	3	-99	0								
201507190009	113	10	Nuqat Al Khams	Mellitah	1	1	1	0		0	1	0	6	1	12	Bonatti	"Construction Workers: Filippo Calcagno, Salvatore Failla, Fausto Piano"	98	Tripoli Province of the Islamic State	0	0	-99	3	1	8	13		0	0			1	4	0		229		0	6	2
201507190010	153	6	Khyber Pakhtunkhwa	Dera Ismail Khan	1	1	0	1	1	1	1	1	3	4	27	Pakistan Armed Forces	Camp	153	Tehrik-i-Taliban Pakistan (TTP)	0	0	2	0	1	7	6	15	0	-9			0								
201507190011	153	6	Khyber Pakhtunkhwa	Dera Ismail Khan	1	1	1	0		1	1	0	2	3	25	Pakistani Police	Officer	153	Tehrik-i-Taliban Pakistan (TTP)	0	0	7	0	0		5	5	0	1	3	-99	0								
201507190012	160	5	Misamis Oriental	Hindangon	1	1	0	1	1	0	1	0	6	4	27	Citizens Armed Forces Geographical Unit (CAFGU)	Patrol Base	160	New People's Army (NPA)	0	0	-99	0	0		5	5	0	0			1	3	0	-99			0	4	0
201507190014	182	11	Bay	Dinsor district	1	1	0	1	1	0	1	1	3	4	29	African Union Mission in Somalia (AMISOM)	Ethiopian Convoy	422	Al-Shabaab	0	0	-99	0	0		6	15	0	0			0								
201507190017	228	10	Adan	Shaykh Uthman	1	1	1	0		0	1	0	3	14	75	Dar Sad Neighborhood	Neighborhood	228	Houthi extremists (Ansar Allah)	1	0	-99	0	0		6	11	0	-9			0								
201507190018	182	11	Galguduud	Galgaduud district	1	1	0	1	1	0	1	0	9	4	34	Somali Armed Forces (SAF)	Soldiers	182	Ahlu-sunah Wal-jamea (Somalia)	0	0	-99	0	0		13		0	0			0								
