eventid	country	region	provstate	city	crit1	crit2	crit3	doubtterr	alternative	multiple	success	suicide	attacktype1	targtype1	targsubtype1	corp1	target1	natlty1	gname	guncertain1	individual	nperps	nperpcap	claimed	claimmode	weaptype1	weapsubtype1	nwoundte	property	propextent	propvalue	ishostkid	nhostkid	nhostkidus	nhours	ndays	divert	ransom	hostkidoutcome	nreleased
-1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	-1	1	1	0	0	1	1	1	1	0	1	1	0	1	0	0	0	0	1	1	1	0
201501010003	113	10	Benghazi	Benghazi	1	1	1	0		0	1	0	3	17	94	Haftar Militia	204 Camp	113	Shura Council of Benghazi Revolutionaries	0	0	-99	0	0		6	11		-9			0								
201501010008	95	10	Nineveh	Tayaran	1	1	1	0		0	0	0	1	2	15	Council of Representatives of Iraq	Residence of Member: Ujayl al-Yawur	95	Islamic State of Iraq and the Levant (ISIL)	0	0	-99	0	0		6	16	0	1	3	-99	0								
201501010009	95	10	Al Anbar	Al-Baghdadi	1	1	1	0		0	0	0	2	14	75	Baghdadi Area	Area	95	Islamic State of Iraq and the Levant (ISIL)	0	0	-99	0	0		5	5		0			0								
201501010010	209	10	Istanbul	Istanbul	1	1	1	0		0	0	0	2	3	25	Turkish National Police (EGM)	Officers	209	Devrimici Halk Kurtulus Cephesi (DHKP/C)	0	0	1	1	1	7	6	7	0	0			0								
201501010012	4	6	Kapisa	Kortas	1	1	1	0		0	0	0	1	2	15	Wolesi Jirga	Motorcade of Member: Wakil Habib Afghan	4	Taliban	0	0	-99	0	1	7	6	8	0	1	3	-99	0								
201501010014	93	5	Papua	Utikini Baru	1	1	1	0		0	1	0	2	3	23	Indonesian National Police (INP)	Patrol	93	Free Papua Movement (OPM-Organisasi Papua Merdeka)	0	0	-99	0	0		5	5	0	0			0								
201501010017	153	6	Balochistan	Sibi	1	1	1	0		0	1	0	3	4	39	Frontier Corps (FC)	Vehicle	153	United Baloch Army (UBA)	0	0	-99	0	1	2	6	29	0	1	4	-99	0								
201501010025	214	9	Luhansk	Staryi Aydar	1	1	0	1	5	0	1	0	3	4	34	Armed Forces of Ukraine	Soldiers	214	Luhansk People's Republic	0	0	-99	0	0		6	11	0	-9			0								
201501010026	214	9	Luhansk	Zolote	1	1	1	1	5	0	1	0	3	4	34	Armed Forces of Ukraine	Soldiers	214	Luhansk People's Republic	0	0	-99	0	0		6	11	0	-9			0								
201501010027	214	9	Donetsk	Vuhlehirsk	1	1	0	1	5	0	1	0	3	4	34	Ukrainian Army	Soldiers	214	Donetsk People's Republic	0	0	-99	0	0		6	11	0	-9			0								
201501010028	214	9	Luhansk	Popasna	1	1	0	1	5	0	1	0	3	4	34	Ukrainian Army	Soldiers	214	Luhansk People's Republic	0	0	-99	0	0		6	11	0	-9			0								
201501010030	214	9	Donetsk	Chermalyk	1	1	0	1	5	0	1	0	3	4	34	Ukrainian Army	Soldiers	214	Donetsk People's Republic	0	0	-99	0	0		6	11	0	-9			0								
201501010031	214	9	Donetsk	Debaltseve	1	1	0	1	5	0	1	0	3	4	34	Ukrainian Army	Soldiers	214	Donetsk People's Republic	0	0	-99	0	0		6	11	0	-9			0								
201501010032	214	9	Donetsk	Leninske	1	1	0	1	5	0	1	0	3	4	34	Ukrainian Army	Soldiers	214	Donetsk People's Republic	0	0	-99	0	0		6	11	0	-9			0								
201501010033	214	9	Donetsk	Olenovka	1	1	0	1	5	0	1	0	3	4	34	Ukrainian Army	Soldiers	214	Donetsk People's Republic	0	0	-99	0	0		6	11	0	-9			0								
201501010034	214	9	Luhansk	Zolote	1	1	0	1	5	0	1	0	3	4	34	Ukrainian Army	Soldiers	214	Luhansk People's Republic	0	0	-99	0	0		6	11	0	-9			0								
201501010035	214	9	Donetsk	Olkhovatka	1	1	0	1	5	0	1	0	3	4	34	Ukrainian Army	Soldiers	214	Donetsk People's Republic	0	0	-99	0	0		6	11	0	-9			0								
201501010036	214	9	Donetsk	Donetsk	1	1	0	1	5	0	1	0	2	4	27	Armed Forces of Ukraine	Donetsk Sergey Prokofiev International Airport	214	Donetsk People's Republic	0	0	-99	0	0		6	11	0	-9			0								
201501010037	214	9	Luhansk	Chernukhino	1	1	0	1	5	0	1	0	2	4	34	Ukrainian Army	Soldiers	214	Luhansk People's Republic	0	0	-99	0	0		5	5	0	-9			0								
201501010038	147	11	Gombe	Gombe	1	1	1	0		0	1	1	3	15	86	Evangelical Church of West Africa	Church	147	Boko Haram	0	0	1	0	0		6	13	0	-9			0								
201501010039	37	11	Extreme-North	Unknown	1	1	1	0		0	1	0	2	19	99	Unknown	Minibus	37	Boko Haram	0	0	-99	0	0		9	23	0	1	3	-99	0								
201501010067	214	9	Luhansk	Chernukhino	1	1	1	0		0	1	0	3	14	76	Not Applicable	Residence	214	Luhansk People's Republic	0	0	-99	0	0		6	11	0	1	3	-99	0								
201501010069	92	6	Chhattisgarh	Kottapalli	1	1	1	0		0	1	0	2	14	113	Not Applicable	Informant: Korsa Jagaram	92	Communist Party of India - Maoist (CPI-Maoist)	0	0	10	0	0		5	3	0	0			0								
201501010071	228	10	Hadramawt	Shibam	1	1	1	0		0	1	0	3	3	23	Yemeni Police	Vehicle	228	Al-Qaida in the Arabian Peninsula (AQAP)	0	0	-99	0	0		6	8	0	1	3	-99	0								
201501010076	104	11	Lamu	Mangai	1	1	0	1	1	0	1	0	2	4	35	Kenya Defense Forces (KDF)	Truck	104	Al-Shabaab	0	0	-99	0	0		5	5		-9			0								
201501010077	228	10	Abyan	Zinjibar	1	1	1	0		0	0	0	1	17	94	Popular Resistance Committee	Commander: Wadah al-Yafi	228	Al-Qaida in the Arabian Peninsula (AQAP)	0	0	-99	0	1	7	6	15	0	1	3	-99	0								
201501010080	92	6	Chhattisgarh	Chando	1	1	1	0		0	1	0	2	14	77	Not Applicable	Village Guard: Munish Ansari	92	Jharkhand Janmukti Parishad (JJP)	0	0	-99	0	0		5	5	0	0			1	2	0	1			0	2	2
201501010081	4	6	Nimroz	Delaram district	1	1	1	0		0	1	0	2	3	23	Afghan Police	Patrol	4	Taliban	0	0	-99	0	1	8	5	5	0	-9			0								
201501010093	228	10	Unknown	Unknown	1	1	0	1	1	0	1	0	9	4	29	Military of Yemen	Convoy	228	Tribesmen	0	0	-99	0	0		13		0	1	4	-99	0								
201501010096	200	10	Aleppo	Unknown	1	1	0	1	1	0	1	0	6	4	34	Turkish Armed Forces (TSK)	Non-Commissioned Officer: Ozgur Ors	209	Islamic State of Iraq and the Levant (ISIL)	0	0	-99	0	0		13		0	0			1	1	0		4		0	5	1
201501020045	182	11	Mudug	Galkayo	1	1	1	0		0	1	0	3	8	48	Yamays Secondary School	Teachers	104	Al-Shabaab	0	0	-99	0	0		6	16	0	1	3	-99	0								
201501020046	182	11	Bay	Baidoa	1	1	0	1	1	0	1	0	2	4	27	Somali Armed Forces (SAF)	Iskudarka Base	182	Al-Shabaab	0	0	-99	0	1	8	5	2	0	-9			0								
201501020047	182	11	Hiiraan	Bulobarde district	1	1	1	0		0	1	0	9	4	29	African Union Mission in Somalia (AMISOM)	Joint Food Supply Convoy	422	Al-Shabaab	0	0	-99	0	1	8	13		0	-9			0								
201501020050	153	6	Balochistan	Bekar	1	1	1	0		0	1	0	3	17	94	Aman Lashkars	Members	153	Baloch Republican Army (BRA)	0	0	-99	0	1	2	6	8	0	1	4	-99	0								
201501020056	95	10	Al Anbar	Ramadi	1	1	0	1	1	0	1	0	9	4	27	Iraqi Army	Base	95	Islamic State of Iraq and the Levant (ISIL)	0	0	-99	0	0		13		24	-9			0								
201501020057	95	10	Al Anbar	Karma	1	1	1	0		0	1	0	6	14	67	Not Applicable	Civilians	95	Islamic State of Iraq and the Levant (ISIL)	0	0	-99	0	1	8	5	5	0	0			1	15	0	-99			0	4	0
201501020060	214	9	Donetsk	Chermalyk	1	1	0	1	5	0	1	0	2	4	34	Ukrainian Army	Soldiers	214	Donetsk People's Republic	0	0	-99	0	0		6	11	0	-9			0								
201501020061	214	9	Luhansk	Chernukhino	1	1	0	1	5	1	1	0	2	4	34	Armed Forces of Ukraine	Anti-Terrorist Operation Soldiers	214	Luhansk People's Republic	0	0	-99	0	0		5	5	0	-9			0								
201501020062	214	9	Luhansk	Chernukhino	1	1	0	1	5	1	1	0	2	4	34	Armed Forces of Ukraine	Anti-Terrorist Operation Soldiers	214	Luhansk People's Republic	0	0	-99	0	0		5	5	0	-9			0								
201501020063	214	9	Donetsk	Donetsk	1	1	0	1	5	0	1	0	2	4	27	Armed Forces of Ukraine	Donetsk Sergey Prokofiev International Airport	214	Donetsk People's Republic	0	0	-99	0	0		6	11	0	-9			0								
201501020068	4	6	Kunduz	Imam Sahib district	1	1	1	0		0	1	0	2	3	24	Afghan Local Police (ALP)	Checkpoint	4	Taliban	0	0	-99	0	1	8	5	5		-9			0								
201501020073	19	6	Sylhet	Sylhet	1	1	1	0		0	0	0	1	2	15	Government of Sylhet	Vehicle of Former Mayor: Badar Uddin Ahmed Kamran	19	Bangladesh Nationalist Party (BNP)	0	0	2	2	0		6	17	0	0			0								
201501020075	147	11	Kaduna	Ambe Madaki	1	1	1	0		0	1	0	2	14	75	Ambe Madaki Village	Village	147	Fulani extremists	0	0	-99	0	0		5	5	0	1	3	-99	0								
201501020076	147	11	Plateau	Shurun	1	1	1	0		0	1	0	2	14	75	Shurun Village	Village	147	Fulani extremists	0	0	-99	0	0		5	5	0	1	3	-99	0								
201501020077	147	11	Kaduna	Kaura district	1	1	1	0		0	1	0	1	14	77	Not Applicable	Emir: Yohanna Daniel Shinkut	147	Fulani extremists	0	0	-99	0	0		5	5	0	1	3	-99	0								
201501020078	4	6	Parwan	Bagram	1	1	0	1	1	0	1	0	3	4	37	North Atlantic Treaty Organization (NATO): Operation Resolute Support	Bagram Airbase	422	Taliban	0	0	-99	0	1	2	6	11	0	0			0								
201501020079	228	10	Lahij	Lahij	1	1	1	0		0	1	0	2	2	20	Political Security Organization (PSO)	Intelligence Officer: Major Faysl Mohammed Ali	228	Al-Qaida in the Arabian Peninsula (AQAP)	0	0	-99	0	1	7	5	5	0	0			0								
201501020083	228	10	Amanat Al Asimah	Sanaa	1	1	1	0		0	1	0	6	15	85	Al-Nasr Mosque	Imam: Abdallah al-Abbab	228	Houthi extremists (Ansar Allah)	0	0	-99	0	0		13		0	0			1	1	0		-99		0	7	-99
201501030036	95	10	Diyala	Husseiniyah	1	1	1	0		0	1	0	3	1	2	Unknown	Restaurant	95	Al-Naqshabandiya Army	0	0	-99	0	1	7	6	16	0	1	3	-99	0								
201501030037	95	10	Baghdad	Baghdad	1	1	1	0		0	1	0	3	14	67	Not Applicable	Civilians	95	Al-Naqshabandiya Army	0	0	-99	0	1	7	6	16	0	1	3	-99	0								
201501030040	95	10	Diyala	Muqdadiyah	1	1	1	0		0	1	0	3	14	67	Not Applicable	Civilians	95	Al-Naqshabandiya Army	0	0	-99	0	1	7	6	17	0	-9			0								
201501030041	92	6	Kerala	Kannur district	1	1	1	0		0	1	0	7	1	12	New Bharat Stone Crusher	Office	92	Communist Party of India - Maoist (CPI-Maoist)	0	0	5	0	1	5	8	18	0	1	3	-99	0								
201501030043	228	10	Shabwah	Said district	1	1	0	1	1	0	1	0	2	4	35	Military of Yemen	Vehicles	228	Al-Qaida in the Arabian Peninsula (AQAP)	0	0	-99	0	1	7	5	5	0	0			0								
201501030045	113	10	Sirte	Sirte	1	1	1	0		0	1	0	6	14	69	Not Applicable	Coptic Christian Civilians	60	Tripoli Province of the Islamic State	0	0	-99	0	1	6	5	5	0	0			1	13	0		43		0	4	0
201501030046	113	10	Jufra	Sokna	1	1	1	0		0	1	0	5	4	34	Libyan Army	168th Infantry Battalion Soldiers	113	Fezzan Province of the Islamic State	0	0	-99	0	1	7	5	5	0	0			1	-99	0	-99			0	4	0
201501030047	160	5	Sultan Kudarat	Sumilalao	1	1	0	1	1	1	1	0	2	4	29	Philippine Army (PA)	Sumilalao Detachment	160	Bangsamoro Islamic Freedom Movement (BIFM)	0	0	-99	0	0		5	5	0	0			0								
201501030048	160	5	Maguindanao	Kulasi	1	1	0	1	1	1	1	0	2	4	29	Philippine Army (PA)	Kulasi Detachment	160	Bangsamoro Islamic Freedom Movement (BIFM)	0	0	-99	0	0		5	5	0	0			0								
201501030052	4	6	Wardak	Saydabad district	1	1	1	0		0	1	0	6	3	25	Afghan National Police (ANP)	Officers	4	Taliban	0	0	-99	0	0		5	5	0	0			1	4	0		1		0	4	0
201501030054	95	10	Kirkuk	Shajarah	1	1	1	0		1	1	0	6	14	67	Not Applicable	Civilians	95	Islamic State of Iraq and the Levant (ISIL)	0	0	-99	0	0		13		0	-9			1	85	0		-99		0	6	81
201501030055	95	10	Kirkuk	Gharib	1	1	1	0		1	1	0	6	14	67	Not Applicable	Civilians	95	Islamic State of Iraq and the Levant (ISIL)	0	0	-99	0	0		13		0	-9			1	85	0		-99		0	6	81
201501030056	95	10	Al Anbar	Ramadi	1	1	1	0		0	1	0	9	14	75	Ramadi City	City	95	Islamic State of Iraq and the Levant (ISIL)	0	0	-99	0	0		13			-9			0								
201501030074	123	11	Gao	Anderamboukane	1	1	1	0		0	1	0	1	2	15	Government of Anderaboucane	Mayor: Aroudeyni Ag Hamatou	123	Movement for Oneness and Jihad in West Africa (MUJAO)	0	0	-99	0	0		5	5	0	1	3	-99	0								
201501030075	147	11	Yobe	Babban Gida	1	1	1	0		0	1	0	2	2	21	Government of Babban Gida	Secretariat Building	147	Boko Haram	0	0	-99	0	0		5	5		1	4	-99	0								
201501030076	147	11	Borno	Baga	1	1	0	1	1	1	1	0	2	4	27	Multinational Joint Task Force (MNJTF)	Base	422	Boko Haram	0	0	-99	0	1	6	5	5		1	4	-99	-9								
201501030077	147	11	Borno	Kauyen Kuros	1	1	1	0		1	1	0	2	14	75	Kauyen Kuros Village	Village	147	Boko Haram	0	0	-99	0	1	6	5	5	0	1	4	-99	0								
201501030078	147	11	Borno	Kukawa district	1	1	1	0		1	1	0	2	14	75	Mile 3 Village	Village	147	Boko Haram	0	0	-99	0	1	6	5	5	0	1	4	-99	0								
201501030079	147	11	Borno	Kukawa district	1	1	1	0		1	1	0	2	14	75	Mile 4 Village	Village	147	Boko Haram	0	0	-99	0	1	6	5	5	0	1	4	-99	0								
201501030080	147	11	Borno	Doron Baga	1	1	1	0		1	1	0	2	14	75	Doron Baga Town	Town	147	Boko Haram	0	0	-99	0	1	6	5	5	0	1	4	-99	0								
201501030081	147	11	Borno	Bundaram	1	1	1	0		1	1	0	2	14	75	Bundaram Village	Village	147	Boko Haram	0	0	-99	0	1	6	5	5	0	1	4	-99	0								
201501030085	92	6	Chhattisgarh	Sukma district	1	1	0	1	1	0	1	0	3	4	29	Commando Battalion for Resolute Action (COBRA)	Contingent	92	Maoists	0	0	-99	0	0		6	10	0	0			0								
201501030086	200	10	Rif Dimashq	Falitah	1	1	1	0		0	1	0	2	4	34	Syrian Army	Soldiers	200	Al-Nusrah Front	0	0	-99	0	1	7	6	11		0			0								
201501030089	228	10	Hadramawt	Shibam district	1	1	1	0		0	1	0	3	4	35	Yemeni Army	Water Tanker	228	Al-Qaida in the Arabian Peninsula (AQAP)	0	0	-99	0	1	7	6	16	0	1	4	-99	0								
201501030091	228	10	Hadramawt	Seiyun district	1	1	1	0		0	1	0	2	3	25	Yemeni Police	Staff Sergeant: Ha'il Muhammad Fadl	228	Al-Qaida in the Arabian Peninsula (AQAP)	0	0	-99	0	0		5	5	0	0			0								
201501030096	214	9	Luhansk	Novoaydar	1	1	0	1	5	0	1	0	3	4	34	Armed Forces of Ukraine	Anti-Terrorist Operation Soldiers	214	Luhansk People's Republic	0	0	-99	0	0		6	11	0	-9			0								
201501030097	214	9	Donetsk	Hnutove	1	1	0	1	5	0	1	0	3	4	34	Armed Forces of Ukraine	Anti-Terrorist Operation Soldiers	214	Donetsk People's Republic	0	0	-99	0	0		6	11	0	-9			0								
201501030098	214	9	Donetsk	Bohdanivka	1	1	0	1	5	0	1	0	3	4	34	Armed Forces of Ukraine	Anti-Terrorist Operation Soldiers	214	Donetsk People's Republic	0	0	-99	0	0		6	11	0	-9			0								
201501030099	214	9	Donetsk	Orlivske	1	1	0	1	5	0	1	0	3	4	34	Armed Forces of Ukraine	Anti-Terrorist Operation Soldiers	214	Donetsk People's Republic	0	0	-99	0	0		6	11	0	-9			0								
201501040010	60	10	North Sinai	Qabr Umayr	1	1	1	0		0	1	0	3	20		Unknown	Unknown	60	Sinai Province of the Islamic State	0	0	-99	0	1	7	6	16	0	0			0								
201501040011	228	10	Dhamar	Dhamar	1	1	1	1	3	0	1	0	3	10	55	Al-Masirah TV	Correspondent: Khalid Al-Washli	228	Al-Qaida in the Arabian Peninsula (AQAP)	0	0	-99	0	1	7	6	16	0	1	3	-99	0								
201501040012	228	10	Shabwah	Ataq	1	1	0	1	1	0	1	0	1	4	34	Yemeni Army	21st Armored Brigade Commander: Brigadier General Hamoud al-Yafea	228	Al-Qaida in the Arabian Peninsula (AQAP)	0	0	-99	0	0		5	5	0	1	3	-99	0								
201501040014	182	11	Banaadir	Mogadishu	1	1	1	0		0	1	1	3	4	29	Alpha Group	Convoy	182	Al-Shabaab	0	0	1	0	1	8	6	15	0	1	3	-99	0								
201501040015	153	6	Balochistan	Tanga	1	1	1	0		1	1	0	6	2	18	Government of Pakistan	Provincial Assembly Clerk: Fazal Haq	153	Tehrik-i-Taliban Pakistan (TTP)	0	0	-99	0	1	5	5	5	0	0			1	5	0		-99		0	6	3
201501040016	153	6	Balochistan	Zhob district	1	1	1	0		1	1	0	6	14	68	Not Applicable	"Civilians: Fazle Haq, Zakir Mohammad, Waqar Qureshi"	153	Tehrik-i-Taliban Pakistan (TTP)	0	0	-99	0	1	5	5	5	0	0			1	4	0		-99		0	6	3
201501040018	4	6	Logar	Deh-e Shaykh	1	1	1	0		0	1	0	2	17	94	National Uprising Movement (NUM)	Vehicle of Commander: Haji Khalil	4	Taliban	0	0	-99	0	1	7	5	5	0	1	3	-99	0								
201501040019	4	6	Herat	Herat	1	1	1	0		0	1	0	1	2	14	Government of Qadis	Former Judge: Mohammad Ismail	4	Taliban	0	0	-99	0	1	7	5	5	0	0			0								
201501040021	153	6	Sindh	Karachi	1	1	1	0		0	1	0	1	14	84	Awami National Party (ANP)	District President: Haji Saifullah Afridi	153	Tehrik-i-Taliban Pakistan (TTP)	0	0	-99	0	0		5	5	0	0			0								
201501040022	153	6	Federally Administered Tribal Areas	Ghanam Shah	1	1	0	1	1	0	1	0	3	4	34	Pakistan Armed Forces	Soldiers	153	Jamaat-ul-Ahrar	0	0	-99	0	1	2	6	12	0	0			0								
201501040024	95	10	Saladin	Tikrit district	1	1	1	0		0	1	0	6	2	18	Government of Iraq	Employees	95	Islamic State of Iraq and the Levant (ISIL)	0	0	-99	0	0		13		0	1	3	-99	1	80	0		-99		0	7	-99
201501040025	95	10	Al Anbar	Kanazah	1	1	0	1	1	0	1	0	9	4	36	Iraqi Armed Forces	Kanazah Checkpoint	95	Islamic State of Iraq and the Levant (ISIL)	0	0	-99	0	0		13		6	0			0								
201501040026	95	10	Al Anbar	Kilu Miat wa Sittin	1	1	1	0		0	1	0	2	4	27	Iraqi Army	Headquarters	95	Islamic State of Iraq and the Levant (ISIL)	0	0	-99	0	0		6	11		-9			0								
201501040029	123	11	Gao	Ansongo-Menaka district	1	1	1	0		0	1	0	3	7	47	United Nations Multidimensional Integrated Stabilization Mission in Mali (MINUSMA)	Vehicle	422	Al-Mua'qi'oon Biddam Brigade (Those who Sign with Blood)	0	0	-99	0	1	4	6	8	0	1	3	-99	0								
201501040032	182	11	Bakool	Wajid	1	1	0	1	1	0	1	0	9	4	27	Somali Armed Forces (SAF)	Bases	182	Al-Shabaab	0	0	-99	0	1	8	13			-9			0								
201501040037	4	6	Kandahar	Kandahar	1	1	1	0		1	1	0	2	3	25	Afghan Police	Officers	4	Taliban	0	0	-99	0	1	10	5	5	0	0			0								
201501040038	4	6	Kandahar	Kandahar	1	1	1	0		1	1	0	2	3	25	Afghan Police	Officer	4	Taliban	0	0	-99	0	1	10	5	5	0	0			0								
201501040039	4	6	Kandahar	Kandahar	1	1	1	0		1	1	0	3	14	67	Not Applicable	Civilian	4	Taliban	0	0	-99	0	1	10	6	8	0	0			0								
201501040042	92	6	Odisha	Keriaguda	1	1	1	0		0	1	0	6	14	113	Not Applicable	"Suspected Informants: Jaga Kabasi, Jaga Sodhi"	92	Maoists	0	0	30	0	0		5	5	0	0			1	2	0	-99			0	4	0
201501040044	228	10	Hadramawt	Ghayl Ba Wazir	1	1	1	0		0	1	0	2	2	18	Public Electricity Company (PEC)	Vehicle	228	Al-Qaida in the Arabian Peninsula (AQAP)	0	0	-99	0	0		5	5	0	1	3	13960.65	0								
201501040067	160	5	Northern Samar	Napo	1	1	0	1	1	0	1	0	2	4	34	Philippine Army (PA)	Sergeant: Leo Loberiano	160	New People's Army (NPA)	0	0	-99	0	0		5	5	0	1	3	-99	0								
201501040068	214	9	Donetsk	Nikishyne	1	1	0	1	5	1	1	0	2	4	34	Armed Forces of Ukraine	Anti-Terrorist Operation Soldiers	214	Donetsk People's Republic	0	0	-99	0	0		6	11	0	-9			0								
201501040069	214	9	Donetsk	Nikishyne	1	1	0	1	5	1	1	0	2	4	34	Armed Forces of Ukraine	Anti-Terrorist Operation Soldiers	214	Donetsk People's Republic	0	0	-99	0	0		6	11	0	-9			0								
201501040070	214	9	Donetsk	Nikishyne	1	1	0	1	5	1	1	0	2	4	34	Armed Forces of Ukraine	Anti-Terrorist Operation Soldiers	214	Donetsk People's Republic	0	0	-99	0	0		6	11	0	-9			0								
201501040071	214	9	Donetsk	Donetsk	1	1	0	1	5	1	1	0	2	4	27	Armed Forces of Ukraine	Donetsk Sergey Prokofiev International Airport	214	Donetsk People's Republic	0	0	-99	0	0		6	11	0	-9			0								
201501040084	60	10	Cairo	Cairo	1	1	1	0		0	1	0	2	3	24	Egyptian National Police (ENP)	Checkpoint	60	Popular Resistance Movement (Egypt)	0	0	2	1	1	7	5	5	0	0			0								
201501040091	60	10	North Sinai	Unknown	1	1	1	0		0	1	0	6	14	68	Not Applicable	Civilian: Ayman Mohamed Salama	60	Sinai Province of the Islamic State	0	0	-99	0	1	6	9	23	0	0			1	1	0		6		0	4	0
201501040093	60	10	North Sinai	Arish district	1	1	1	0		0	0	0	3	20		Unknown	Unknown	60	Sinai Province of the Islamic State	0	0	-99	0	1	7	6	16	0	0			0								
201501050005	95	10	Saladin	Alam	1	1	1	0		1	1	0	6	14	67	Not Applicable	Civilians	95	Islamic State of Iraq and the Levant (ISIL)	0	0	-99	0	1	8	13		0	0			1	-99	0		-99		0	7	-99
201501050006	95	10	Kirkuk	Rubaydah	1	1	1	0		1	1	0	6	14	67	Not Applicable	Civilians	95	Islamic State of Iraq and the Levant (ISIL)	0	0	-99	0	1	8	13		0	0			1	-99	0		-99		0	7	-99
201501050007	95	10	Kirkuk	Kabbah	1	1	1	0		1	1	0	6	14	67	Not Applicable	Civilians	95	Islamic State of Iraq and the Levant (ISIL)	0	0	-99	0	1	8	13		0	0			1	-99	0		-99		0	7	-99
201501050008	95	10	Unknown	Al-Kuthahiyah	1	1	1	0		1	1	0	6	14	67	Not Applicable	Civilians	95	Islamic State of Iraq and the Levant (ISIL)	0	0	-99	0	1	8	13		0	0			1	-99	0		-99		0	7	-99
201501050009	95	10	Unknown	As Sadid	1	1	1	0		1	1	0	6	14	67	Not Applicable	Civilians	95	Islamic State of Iraq and the Levant (ISIL)	0	0	-99	0	1	8	13		0	0			1	-99	0		-99		0	7	-99
201501050010	95	10	Kirkuk	Hawijah district	1	1	1	0		1	1	0	6	14	67	Not Applicable	Civilians	95	Islamic State of Iraq and the Levant (ISIL)	0	0	-99	0	1	8	13		0	0			1	-99	0		-99		0	7	-99
201501050011	95	10	Diyala	Khalis	1	1	1	0		0	1	0	9	4	34	Iraqi Army	Soldiers	95	Islamic State of Iraq and the Levant (ISIL)	0	0	-99	0	0		13			-9			0								
201501050012	95	10	Diyala	Muqdadiyah district	1	1	1	0		0	1	0	5	14	67	Not Applicable	Civilians	95	Islamic State of Iraq and the Levant (ISIL)	0	0	-99	0	0		13		0	0			1	3	0		-99		0	4	0
201501050013	173	10	Northern Borders	Suwayf	1	1	1	0		0	1	1	3	3	23	Saudi Border Guard	Patrol	173	Islamic State of Iraq and the Levant (ISIL)	0	0	4	0	1	10	6	13	0	-9			0								
201501050014	60	10	North Sinai	Arish	1	1	1	0		0	1	0	3	3	25	Egyptian National Police (ENP)	Officers	60	Sinai Province of the Islamic State	0	0	-99	0	1	7	6	16	0	-9			0								
201501050025	4	6	Kabul	Kabul	1	1	1	0		0	1	1	3	7	47	European Union Police Mission in Afghanistan (EUPOL Afghanistan)	Vehicle	422	Taliban	0	0	1	0	1	7	6	15	0	1	3	-99	0								
201501050027	4	6	Zabul	Qalat	1	1	1	0		0	0	1	1	3	25	Afghan Police	Convoy of Deputy Police Chief: General Ghulam Jilani Khan	4	Taliban	0	0	-99	0	1	10	6	15	0	1	3	-99	0								
201501050029	153	6	Balochistan	Pir Koh	1	1	1	0		0	1	0	3	21	106	Unknown	Gas Pipeline	153	Baloch Republican Army (BRA)	0	0	-99	0	1	2	6	16	0	1	4	-99	0								
201501050031	153	6	Federally Administered Tribal Areas	Baezai	1	1	1	0		0	1	0	3	3	25	Bomb Disposal Squad (BDS)	Officer	153	Jamaat-ul-Ahrar	0	0	-99	0	1	2	6	8	0	0			0								
201501050037	4	6	Nangarhar	Unknown	1	1	0	1	1	0	1	1	3	4	37	North Atlantic Treaty Organization (NATO): Operation Resolute Support	United States Convoy	422	Taliban	0	0	-99	0	1	8	6	15	0	1	4	-99	0								
201501050041	123	11	Segou	Nampala	1	1	0	1	1	0	1	0	2	4	27	Malian Army	Base	123	Al-Qaida in the Islamic Maghreb (AQIM)	0	0	-99	0	1	8	5	5		-9			-9								
201501050042	182	11	Hiiraan	Luuq Jeelow	1	1	1	0		0	1	0	6	15	85	Unknown	Tablighi Cleric	182	Al-Shabaab	0	0	-99	0	0		9	23	0	0			1	1	0	-99			0	4	0
201501050045	228	10	Sanaa	Bayt Marran	1	1	1	0		0	1	0	6	14	67	Not Applicable	Civilians	228	Houthi extremists (Ansar Allah)	0	0	-99	0	0		13		0	0			1	30	0		-99		0	7	-99
201501050047	228	10	Amanat Al Asimah	Sanaa	1	1	1	0		0	0	0	1	17	93	Huthis	House of Leader: Nagi Mohieldin	228	Al-Qaida in the Arabian Peninsula (AQAP)	0	0	-99	0	1	7	6	16	0	1	3	-99	0								
201501050049	19	6	Dhaka	Dhaka	1	1	1	0		0	1	0	7	22	110	Bangladesh Nationalist Party (BNP)	Office	19	Awami League	1	0	-99	0	0		8	18	0	1	3	-99	0								
201501050050	19	6	Dhaka	Dhaka	1	1	1	0		0	1	0	3	20		Unknown	Unknown	19	Awami League	1	0	-99	0	0		6	17	0	-9			0								
201501050053	113	10	Butnan	Tubruq	1	1	0	1	1	0	1	0	9	4	34	Armed Forces of Libya	Chief Sergeant: Saleh Fathallah Mansur Idris	113	Barqa Province of the Islamic State	0	0	-99	0	1	7	13		0	0			0								
201501050054	4	6	Khost	Shambawat	1	1	0	1	1	0	1	0	3	4	35	Afghan National Army (ANA)	Vehicle	4	Taliban	0	0	-99	0	1	8	6	16	0	1	4	-99	0								
201501050055	4	6	Farah	Bala Buluk district	1	1	1	0		0	1	0	9	3	22	Afghan Police	Post	4	Taliban	0	0	-99	0	0		13		0	-9			0								
201501050058	4	6	Nangarhar	Pachir Agam district	1	1	0	1	1	0	1	0	2	4	29	Afghan National Security Force (ANSF)	Patrol	4	Taliban	0	0	-99	0	1	7	5	5	6	0			0								
